id,image_url,page_url,Title,Actors,Production,Director,Release_date,Genre,Awards,Critic_Score,Runtime
371034,https://m.media-amazon.com/images/M/MV5BMTQ3NTYyNTk0OV5BMl5BanBnXkFtZTgwMjk5Mzc4MDE@._V1_SX300.jpg,https://www.imdb.com/title/tt2526846/,I Am Santa Claus,"Mick Foley, Russell Spice, Jim Stevenson, Santa Claus",N/A,Tommy Avallone,04 Nov 2014,"Documentary, Comedy, Drama",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",89 min
371035,https://m.media-amazon.com/images/M/MV5BMjM2OTkyMjQwMl5BMl5BanBnXkFtZTgwNjgxNzA2MjE@._V1_SX300.jpg,https://www.imdb.com/title/tt2526866/,Nordstrand,"Lennart Bartels, Luise Berndt, William Boer, Martina Krauel",N/A,Florian Eichinger,24 Jan 2014,Drama,2 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",89 min
371036,N/A,https://www.imdb.com/title/tt2526868/,Broken Soldiers,Dennis Manuge,N/A,Dale Stevens,26 Mar 2012,Documentary,N/A,[],N/A
371037,N/A,https://www.imdb.com/title/tt2526876/,Hanh phuc qua dam may mau,N/A,N/A,N/A,01 Jan 1996,Romance,N/A,[],N/A
371038,https://m.media-amazon.com/images/M/MV5BMjMyMDkwMjE2NV5BMl5BanBnXkFtZTcwODU0MzE4OA@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526888/,Agganis: The Golden Greek - Excellence to the End,Harry Agganis,N/A,N/A,13 Nov 2012,Documentary,N/A,[],135 min
371039,https://m.media-amazon.com/images/M/MV5BMTM3MTIyNzkwN15BMl5BanBnXkFtZTcwNzc5NjUzOQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2526898/,Cannon Fodder,"Liron Levo, Yafit Shalev, Roy Miller, Emos Ayeno",Israeli Film Fund,Eitan Gafny,13 Mar 2014,"Action, Horror",3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",93 min
371040,N/A,https://www.imdb.com/title/tt2526944/,Les Super mémés,N/A,N/A,Magnus Isacsson,20 Mar 2010,Documentary,N/A,[],N/A
371041,https://m.media-amazon.com/images/M/MV5BMTExMTExOTk2NzNeQTJeQWpwZ15BbWU4MDgzMTM0NTUx._V1_SX300.jpg,https://www.imdb.com/title/tt2526974/,Over the Sky of Azerbaijan,N/A,N/A,Sagrario Perpiñan,N/A,Documentary,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",60 min
371042,N/A,https://www.imdb.com/title/tt2526980/,A Minha Aldeia já não Mora Aqui,N/A,N/A,Catarina Mourão,24 Jun 2006,Documentary,N/A,[],N/A
371043,N/A,https://www.imdb.com/title/tt2526986/,This Spying Life,"Alex Poling, Carolyne Rex, Joey LoCascio, Dennis Corsi",N/A,Jim Smith,07 Dec 2012,Thriller,N/A,[],89 min
371044,N/A,https://www.imdb.com/title/tt2526998/,Los días de barro,N/A,N/A,Eva Lopez,01 Oct 2007,Documentary,N/A,[],N/A
371045,https://m.media-amazon.com/images/M/MV5BNThhODNmMWUtZDI5MS00ZThmLThmYWItZTVkMjY4NDQ1MzhmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,https://www.imdb.com/title/tt2527048/,One More Time,"Lucia Bosè, Magaly Solier",N/A,"Pablo Benedetti, David Sordella",15 May 2013,Drama,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",82 min
371046,https://m.media-amazon.com/images/M/MV5BMjY4MjYyNDE5MV5BMl5BanBnXkFtZTgwNjE0NTcwNjE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527050/,Cairo Drive,N/A,N/A,Sherief Elkatsha,30 Sep 2014,"Documentary, Comedy, Drama",2 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",77 min
371047,N/A,https://www.imdb.com/title/tt2527056/,Songs of Redemption,N/A,N/A,"Miquel Galofré, Amanda Sans",19 Feb 2013,Documentary,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",78 min
371048,N/A,https://www.imdb.com/title/tt2527064/,Les états inventés d'Amérique,Guy Nadon,N/A,Pierre Guimond,23 Mar 2014,Documentary,N/A,[],86 min
371049,N/A,https://www.imdb.com/title/tt2527080/,Horror House 2,Kerry Finlayson,N/A,Evan Marlowe,25 Oct 2016,Horror,N/A,[],N/A
371050,N/A,https://www.imdb.com/title/tt2527082/,My Dog Zeus,Rylee,N/A,N/A,22 Nov 2016,Family,N/A,[],N/A
371051,https://m.media-amazon.com/images/M/MV5BZWMzMWNlM2YtODYzMS00N2NmLWI1ZDctZDk5MTkyZTRiZjgzXkEyXkFqcGdeQXVyNjgzMTAzMDg@._V1_SX300.jpg,https://www.imdb.com/title/tt2527090/,The Meeting,"Kehinde Bankole, Chika Chukwu, Rita Dominic, Linda Ejiofor",N/A,Mildred Okwo,23 Nov 2012,Comedy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",115 min
371052,N/A,https://www.imdb.com/title/tt2527092/,Have You Considered?,N/A,N/A,N/A,22 Oct 2016,Drama,N/A,[],N/A
371053,N/A,https://www.imdb.com/title/tt2527104/,Jesus & Angelina: A Gangster Love Story,N/A,N/A,N/A,11 Nov 2016,Drama,N/A,[],N/A
371054,N/A,https://www.imdb.com/title/tt2527116/,Mes soeurs musulmanes,N/A,N/A,Francine Pelletier,26 Feb 2010,Documentary,N/A,[],68 min
371055,N/A,https://www.imdb.com/title/tt2527138/,Finster,"Chris Frantz, Henry Paul, Dave Robbins, Steve Penley",N/A,Ava Leigh Stewart,01 Aug 2012,"Documentary, Short, Biography",N/A,[],22 min
371056,https://m.media-amazon.com/images/M/MV5BMTU4Nzg4NjY1OF5BMl5BanBnXkFtZTgwNzk1NTU1MTE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527186/,All Cheerleaders Die,"Sidney Allison, Charon R. Arnold, Shay Astar, Sam Bean",Modernciné,"Lucky McKee, Chris Sivertson",08 May 2014,"Comedy, Fantasy, Horror",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",89 min
371057,https://m.media-amazon.com/images/M/MV5BMTUwODkyMDU3NF5BMl5BanBnXkFtZTcwMDQyMjIyOQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2527190/,Domestic,"Adrian Titieni, Gheorghe Ifrim, Ioana Flora, Clara Voda",N/A,Adrian Sitaru,22 Mar 2013,"Comedy, Drama, Family",1 win & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",82 min
371058,https://m.media-amazon.com/images/M/MV5BMTk4NTAzNjIzN15BMl5BanBnXkFtZTcwMzY3NzU2OQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2527192/,Desert Runners,"Samantha Gash, Tremaine Kent, David O'Brien, Ricky Paugh",N/A,Jennifer Steinman Sternin,06 Dec 2013,"Documentary, Adventure, Drama",2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",99 min
371059,https://m.media-amazon.com/images/M/MV5BYzE1M2QxMTItMTRiMS00MWI0LWFiOTUtZDUyNmY4OGFlZjJmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,https://www.imdb.com/title/tt2527238/,Kamasutra 3D,"Makrand Deshpande, MD Asif, Kristna Saikia, Milind Gunaji",N/A,Rupesh Paul,17 Aug 2013,"Drama, Romance",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",110 min
371060,https://m.media-amazon.com/images/M/MV5BMTM3MjkyNjk3MF5BMl5BanBnXkFtZTcwNTExNDA0OQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2527256/,My Cornerstone,"Zenia Starr, Romin Khan, James Morcan, Savita Starr",N/A,Stanley Joseph,12 Jun 2013,"Comedy, Drama, Romance",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",119 min
371061,N/A,https://www.imdb.com/title/tt2527266/,Empire Belfast,"Hugh Shuggie Brown, Stéphanie Cavallin, Jasper Dalton-Watson, Maryke Del'Castillo",N/A,Michael McNulty,16 Apr 2010,Romance,N/A,[],87 min
371062,https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_SX300.jpg,https://www.imdb.com/title/tt2527336/,Star Wars: Episode VIII - The Last Jedi,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Lucasfilm Ltd.,Rian Johnson,15 Dec 2017,"Action, Adventure, Fantasy, Sci-Fi",Nominated for 4 Oscars. Another 24 wins & 90 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",152 min
371063,https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,https://www.imdb.com/title/tt2527338/,Star Wars: Episode IX - The Rise of Skywalker,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley","Lucasfilm Ltd., Bad Robot",J.J. Abrams,20 Dec 2019,"Action, Adventure, Fantasy, Sci-Fi",Nominated for 3 Oscars. Another 7 wins & 37 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",141 min
371064,https://m.media-amazon.com/images/M/MV5BMTc1NTc4MDMxNl5BMl5BanBnXkFtZTcwMjYzMDQwOQ@@._V1_SX300.jpg,https://www.imdb.com/title/tt2527390/,THG: The Beginning,"Gabrielle Benson, Johnny Bouchard, Steven Bray, Dominic Burgess",N/A,Patrick W. Henry,21 Nov 2012,Action,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A
371065,N/A,https://www.imdb.com/title/tt2527410/,Divided We Unite,"Megan T. Curtis, Leon Kiley, Patrick Lynch, Debra Boyer",N/A,Mark Eiden,17 Dec 2012,Drama,N/A,[],95 min
371066,N/A,https://www.imdb.com/title/tt2527430/,Carta vetrata,"Gabriele Cirilli, Alessandra Filoteo, Alberto Bognanni, Mimmo Strati",N/A,Gabriele Fontana,N/A,Comedy,N/A,[],85 min
371067,N/A,https://www.imdb.com/title/tt2527474/,Toothbrush Belfast,N/A,N/A,Michael McNulty,07 Jun 2012,Romance,N/A,[],89 min
371068,N/A,https://www.imdb.com/title/tt2527492/,Toothbrush,"Skye Bompas, Eileen Branagh, Darren Fee, Leon Fee",N/A,Michael McNulty,07 Jun 2012,"Comedy, Romance",N/A,[],88 min
371069,https://m.media-amazon.com/images/M/MV5BOTUyMzc2MDEyN15BMl5BanBnXkFtZTgwMzE1NjAyMTE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527494/,Maria the Korean Bride,"Maria Yoon, Steve Warren",N/A,Maria Yoon,08 Apr 2013,"Documentary, Adventure, Biography",N/A,[],75 min
371070,N/A,https://www.imdb.com/title/tt2527504/,Ri yue tong zi,"Peng Tien, Lei Hsieh, Ping Ching Lo, Hui Lou Chen",N/A,Kuan Jen Yu,N/A,"Adventure, Fantasy",N/A,[],N/A
371071,N/A,https://www.imdb.com/title/tt2527520/,Corridors of Children,N/A,N/A,Cam Smeal,N/A,"Documentary, Crime, News",N/A,[],50 min
371072,N/A,https://www.imdb.com/title/tt2527540/,La grande invasion,N/A,N/A,Martin Frigon,30 Mar 2012,Documentary,N/A,[],79 min
371073,https://m.media-amazon.com/images/M/MV5BMzQ4NTkzNzQ5MV5BMl5BanBnXkFtZTgwNzkxNjUwMTE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527560/,Quito 2023,"Silvio Villagómez, Jose Luís Vergara, Enrique Carvajal, Elvira Durango",N/A,"César Izurieta, Juan Fernando Moscoso",21 Feb 2014,"Sci-Fi, Thriller",N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",90 min
371074,N/A,https://www.imdb.com/title/tt2527566/,Figure d'armen,N/A,N/A,Marlene Edoyan,16 Nov 2012,Documentary,N/A,[],74 min
371075,N/A,https://www.imdb.com/title/tt2527614/,The Day That Never Happened,"Emma Bijkerk, Sophia Bijkerk, Sven Duteweerd, Alexander Jonkhart",N/A,Pim Razenberg,25 Dec 2006,"Drama, Thriller",N/A,[],106 min
371076,N/A,https://www.imdb.com/title/tt2527640/,Westenbrink,"Sophia Bijkerk, Sven Duteweerd, Marjolein Haan, Danny Hoekstra",N/A,Pim Razenberg,15 Mar 2008,"Action, Drama, Thriller",N/A,[],99 min
371077,N/A,https://www.imdb.com/title/tt2527658/,Pharaoh vs. the Egyptians,Akmal Saleh,N/A,Akmal Saleh,13 Sep 2013,"Documentary, History, News",N/A,[],79 min
371078,https://m.media-amazon.com/images/M/MV5BMzBmYjUyMGUtZDI2NS00MDAyLTg4NTktZGUzNDlhOWRjM2M1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,https://www.imdb.com/title/tt2527660/,Foxfur,"I. Elijah Baughman, John Bekolay, Kristine Crown, Jared Cyr",N/A,Damon Packard,21 Jul 2012,Fantasy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",61 min
371079,https://m.media-amazon.com/images/M/MV5BMTU1MDUyODQ2Ml5BMl5BanBnXkFtZTgwOTMxMjczNDE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527662/,Shooting Goldman,"Yasmin Kassim, Mike Goldman, Shaun Johnson",N/A,Tony Prescott,07 Jul 2015,Thriller,N/A,[],N/A
371080,N/A,https://www.imdb.com/title/tt2527672/,El despertar de un sueño,N/A,N/A,Luis Ernesto Doñas,25 Aug 2009,Documentary,N/A,[],N/A
371081,N/A,https://www.imdb.com/title/tt2527696/,3 Horas para Amar,"Patrícia Machado, Maria José Mendes, Elisabete Resende",N/A,Patrícia Nogueira,11 May 2013,"Documentary, Drama",N/A,[],54 min
371082,N/A,https://www.imdb.com/title/tt2527734/,The Nomads of Oz,"Geneviève Boivin-Roussy, Pierre-Philippe Côté, Mélanie Elliott, Jason Noël",N/A,Jason Rodi,N/A,"Family, Fantasy, Music",N/A,[],96 min
371083,N/A,https://www.imdb.com/title/tt2527740/,Thiruvambadi Thamban,"Jayaram, Jagathi Sreekumar, Haripriya, V. Jayaprakash",Jini Cinema,M. Padmakumar,25 May 2012,"Action, Thriller",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",150 min
371084,N/A,https://www.imdb.com/title/tt2527742/,Journey for Lotus,N/A,N/A,Eunhee Cha,N/A,Documentary,1 win.,[],59 min
371085,https://ia.media-imdb.com/images/M/MV5BNTc2NDU1NDA3MF5BMl5BanBnXkFtZTgwOTk1NzA2MDE@._V1_SX300.jpg,https://www.imdb.com/title/tt2527750/,Historic Camping & Teardrop Trailers,N/A,N/A,Mark Janke,16 Aug 2011,Documentary,N/A,[],58 min
371086,N/A,https://www.imdb.com/title/tt2528078/,Prozess 20. Juli 1944 vor dem Volksgerichtshof,"Robert Bernardis, Roland Freisler, Erich Hopener, Friedrich Karl Klausing",N/A,N/A,N/A,Documentary,N/A,[],45 min
371087,N/A,https://www.imdb.com/title/tt2528104/,L'avocat du diable,N/A,N/A,Olivier Meyrou,22 Jun 2009,Documentary,N/A,[],N/A
